params,mean_test_score,std_test_score,rank_test_score
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': [1, 2]}",0.5777313701051681,0.01888903342876992,73
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'auto', 'weights': [1, 3]}",0.5777313701051681,0.01888903342876992,73
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [1, 3]}",0.5775902334530193,0.019093536151641693,79
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [1, 3]}",0.5775902334530193,0.019093536151641693,79
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [1, 2]}",0.5775902334530193,0.019093536151641693,79
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [1, 2]}",0.5775902334530193,0.019093536151641693,79
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [1, 3]}",0.5775902334530193,0.019093536151641693,79
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 10.0, 'svm__svc__gamma': 'scale', 'weights': [1, 2]}",0.5775902334530193,0.019093536151641693,79
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'scale', 'weights': [1, 1]}",0.5728261733625399,0.010498431983897912,85
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'scale', 'weights': None}",0.5728261733625399,0.010498431983897912,85
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'auto', 'weights': None}",0.5725251862369264,0.010418131840997201,87
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'auto', 'weights': [1, 1]}",0.5725251862369264,0.010418131840997201,87
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'scale', 'weights': None}",0.5722510981235649,0.009637056151503384,89
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'scale', 'weights': [1, 1]}",0.5722510981235649,0.009637056151503384,89
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'scale', 'weights': [1, 1]}",0.572091108859601,0.009682702052331193,91
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'scale', 'weights': None}",0.572091108859601,0.009682702052331193,91
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'auto', 'weights': [1, 1]}",0.5719507325227416,0.009570189282323229,93
"{'ridge__ridgeclassifier__alpha': 10.0, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'auto', 'weights': None}",0.5719507325227416,0.009570189282323229,93
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'auto', 'weights': [1, 1]}",0.5717903211017246,0.009602983687467651,95
"{'ridge__ridgeclassifier__alpha': 0.1, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'auto', 'weights': None}",0.5717903211017246,0.009602983687467651,95
"{'ridge__ridgeclassifier__alpha': 1.0, 'svm__svc__C': 0.1, 'svm__svc__gamma': 'auto', 'weights': [1, 2]}",0.5548430674700809,0.01244902346040968,97
